PriceUnformatted,FullAddress,Street,City,State,Zipcode,Bedroom#,Bathroom#,Area(sqft),PriceGroup,GroupMedianPrice
450000,"13234 Vallentine Row Dr, Houston, TX 77044",13234 Vallentine Row Dr,Houston,TX,77044,4.0,3.0,1943.0,Medium,358000.0
285000,"12235 Greencanyon Dr, Houston, TX 77044",12235 Greencanyon Dr,Houston,TX,77044,4.0,4.0,2638.0,Medium,358000.0
554000,"13807 Bend Rock Way, Houston, TX 77044",13807 Bend Rock Way,Houston,TX,77044,5.0,4.0,3804.0,Medium,358000.0
498000,"14606 Kings Head Dr, Houston, TX 77044",14606 Kings Head Dr,Houston,TX,77044,5.0,3.0,3042.0,Medium,358000.0
459000,"14434 Mountain Cliff Ln, Houston, TX 77044",14434 Mountain Cliff Ln,Houston,TX,77044,4.0,4.0,3420.0,Medium,358000.0
549000,"13514 Navigate Point Ln, Houston, TX 77044",13514 Navigate Point Ln,Houston,TX,77044,4.0,4.0,3904.0,Medium,358000.0
535000,"16302 Breakwater Path Dr, Houston, TX 77044",16302 Breakwater Path Dr,Houston,TX,77044,5.0,4.0,4603.0,Medium,358000.0
699000,"13606 Elm Shores Dr, Houston, TX 77044",13606 Elm Shores Dr,Houston,TX,77044,4.0,4.0,4240.0,Medium,358000.0
725000,"13746 Nubenbrook Lake Dr, Houston, TX 77044",13746 Nubenbrook Lake Dr,Houston,TX,77044,5.0,4.0,3969.0,Medium,358000.0
445750,"14427 Mountain Cliff Ln, Houston, TX 77044",14427 Mountain Cliff Ln,Houston,TX,77044,4.0,4.0,3256.0,Medium,358000.0
500000,"14016 Northline Lake Dr, Houston, TX 77044",14016 Northline Lake Dr,Houston,TX,77044,4.0,4.0,2989.0,Medium,358000.0
535000,"15811 Maple Shores Dr, Houston, TX 77044",15811 Maple Shores Dr,Houston,TX,77044,4.0,5.0,3873.0,Medium,358000.0
314900,"14514 Red Tailed Hawk Ln, Houston, TX 77044",14514 Red Tailed Hawk Ln,Houston,TX,77044,3.0,2.0,2008.0,Medium,358000.0
249900,"9610 Brandon Rock Ln, Houston, TX 77044",9610 Brandon Rock Ln,Houston,TX,77044,3.0,2.0,1572.0,Medium,358000.0
465000,"12930 Laguna Vista Ln, Houston, TX 77044",12930 Laguna Vista Ln,Houston,TX,77044,4.0,3.0,2675.0,Medium,358000.0
629900,"8523 San Juanico St, Houston, TX 77044",8523 San Juanico St,Houston,TX,77044,4.0,4.0,3564.0,Medium,358000.0
315000,"7834 London Tower Ln, Houston, TX 77044",7834 London Tower Ln,Houston,TX,77044,4.0,3.0,2592.0,Medium,358000.0
650000,"13607 Kingston River Ln, Houston, TX 77044",13607 Kingston River Ln,Houston,TX,77044,5.0,5.0,4299.0,Medium,358000.0
475000,"13806 Pepperstone Ln, Houston, TX 77044",13806 Pepperstone Ln,Houston,TX,77044,4.0,4.0,3483.0,Medium,358000.0
733000,"16119 Cottage Timbers Ct, Houston, TX 77044",16119 Cottage Timbers Ct,Houston,TX,77044,4.0,4.0,4525.0,Medium,358000.0
300000,"15638 S Fall Fern Cir, Houston, TX 77044",15638 S Fall Fern Cir,Houston,TX,77044,5.0,3.0,2700.0,Medium,358000.0
509900,"13706 Turn Point Ct, Houston, TX 77044",13706 Turn Point Ct,Houston,TX,77044,5.0,4.0,3489.0,Medium,358000.0
395000,"7500 Bridle Path Dr, Houston, TX 77044",7500 Bridle Path Dr,Houston,TX,77044,3.0,2.0,2120.0,Medium,358000.0
625000,"15802 Bryan Creek Ct, Houston, TX 77044",15802 Bryan Creek Ct,Houston,TX,77044,4.0,4.0,4452.0,Medium,358000.0
585000,"13527 Delwood Springs Ln, Houston, TX 77044",13527 Delwood Springs Ln,Houston,TX,77044,4.0,4.0,3275.0,Medium,358000.0
270000,"10335 Admirable Path, Houston, TX 77044",10335 Admirable Path,Houston,TX,77044,4.0,3.0,2005.0,Medium,358000.0
149900,"0 W Jayhawk St, Houston, TX 77044",0 W Jayhawk St,Houston,TX,77044,4.0,0.0,2496.0,Medium,358000.0
537200,"12906 Hartshill Ct, Houston, TX 77044",12906 Hartshill Ct,Houston,TX,77044,4.0,4.0,3533.0,Medium,358000.0
350000,"13710 Brighton Park Dr, Houston, TX 77044",13710 Brighton Park Dr,Houston,TX,77044,3.0,2.0,2304.0,Medium,358000.0
399900,"8215 Redbird Ln, Houston, TX 77044",8215 Redbird Ln,Houston,TX,77044,3.0,3.0,1884.0,Medium,358000.0
290000,"12910 Greens Manor Ln, Houston, TX 77044",12910 Greens Manor Ln,Houston,TX,77044,4.0,2.0,1975.0,Medium,358000.0
270000,"13022 Larriston Ln, Houston, TX 77044",13022 Larriston Ln,Houston,TX,77044,3.0,2.0,1932.0,Medium,358000.0
